adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
apt	2.7.14build2
at-spi2-common	2.52.0-1build1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
base-files	13ubuntu10.1
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.3
binutils-common:amd64	2.42-4ubuntu2.3
binutils-x86-64-linux-gnu	2.42-4ubuntu2.3
bsdutils	1:2.39.3-9ubuntu6.1
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1
bzip2-doc	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
coreutils	9.4-3ubuntu6
cpp	4:13.2.0-7ubuntu1
cpp-13	13.2.0-23ubuntu4
cpp-13-x86-64-linux-gnu	13.2.0-23ubuntu4
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
davix-dev:amd64	0.8.5-1.1build3
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dcap-dev:amd64	2.47.14-2
debconf	1.5.86ubuntu1
debianutils	5.17build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17
dpkg	1.22.6ubuntu6.1
dpkg-dev	1.22.6ubuntu6.1
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
fakeroot	1.33-1
file	1:5.45-3build1
findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-freefont-ttf	20211204+svn4273-2
freeglut3-dev:amd64	3.4.0-1build1
g++	4:13.2.0-7ubuntu1
g++-13	13.2.0-23ubuntu4
g++-13-x86-64-linux-gnu	13.2.0-23ubuntu4
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.2.0-23ubuntu4
gcc-13-base:amd64	13.2.0-23ubuntu4
gcc-13-x86-64-linux-gnu	13.2.0-23ubuntu4
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gfortran	4:13.2.0-7ubuntu1
gfortran-13	13.2.0-23ubuntu4
gfortran-13-x86-64-linux-gnu	13.2.0-23ubuntu4
gfortran-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-freedesktop-dev:amd64	1.80.1-1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.1
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-girepository-2.0-dev:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.2
gir1.2-glib-2.0-dev:amd64	2.80.0-6ubuntu3.2
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17
gnupg-l10n	2.4.4-2ubuntu17
gnupg-utils	2.4.4-2ubuntu17
gobject-introspection:amd64	1.80.1-1
gobject-introspection-bin	1.80.1-1
gpg	2.4.4-2ubuntu17
gpg-agent	2.4.4-2ubuntu17
gpg-wks-client	2.4.4-2ubuntu17
gpgconf	2.4.4-2ubuntu17
gpgsm	2.4.4-2ubuntu17
gpgv	2.4.4-2ubuntu17
grep	3.11-4build1
gtk-update-icon-cache	3.24.41-4ubuntu1.2
gzip	1.12-1ubuntu3.2
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
humanity-icon-theme	0.6.16
ibverbs-providers:amd64	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
init-system-helpers	1.66ubuntu1
javascript-common	11+nmu1
keyboxd	2.4.4-2ubuntu17
krb5-locales	1.20.1-6ubuntu2.2
less	590-2ubuntu2.1
libacl1:amd64	2.3.2-1build1.1
libafterimage-dev	2.2.12-17.1build3
libafterimage0t64:amd64	2.2.12-17.1build3
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:amd64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd-comgr2:amd64	6.0+git20231212.4510c28+dfsg-3build2
libamdhip64-5	5.7.1-3
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.3
libapt-pkg6.0t64:amd64	2.7.14build2
libarchive13t64:amd64	3.7.2-2ubuntu0.3
libasan8:amd64	14.2.0-4ubuntu2~24.04
libassuan0:amd64	2.5.6-1build1
libatk1.0-0t64:amd64	2.52.0-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04
libattr1:amd64	1:2.5.2-1build1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libavahi-client3:amd64	0.8-13ubuntu6
libavahi-common-data:amd64	0.8-13ubuntu6
libavahi-common3:amd64	0.8-13ubuntu6
libbinutils:amd64	2.42-4ubuntu2.3
libblas3:amd64	3.12.0-3build1.1
libblkid-dev:amd64	2.39.3-9ubuntu6.1
libblkid1:amd64	2.39.3-9ubuntu6.1
libboost-all-dev	1.83.0.1ubuntu2
libboost-atomic-dev:amd64	1.83.0.1ubuntu2
libboost-atomic1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-atomic1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono-dev:amd64	1.83.0.1ubuntu2
libboost-chrono1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64:amd64	1.83.0-2.1ubuntu3.2
libboost-container-dev:amd64	1.83.0.1ubuntu2
libboost-container1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-container1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-context-dev:amd64	1.83.0.1ubuntu2
libboost-context1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-context1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-coroutine-dev:amd64	1.83.0.1ubuntu2
libboost-coroutine1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-coroutine1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time-dev:amd64	1.83.0.1ubuntu2
libboost-date-time1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-dev:amd64	1.83.0.1ubuntu2
libboost-exception-dev:amd64	1.83.0.1ubuntu2
libboost-exception1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-fiber-dev:amd64	1.83.0.1ubuntu2
libboost-fiber1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-fiber1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-filesystem-dev:amd64	1.83.0.1ubuntu2
libboost-filesystem1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-filesystem1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-graph-dev:amd64	1.83.0.1ubuntu2
libboost-graph-parallel-dev	1.83.0.1ubuntu2
libboost-graph-parallel1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph-parallel1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-graph1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-iostreams-dev:amd64	1.83.0.1ubuntu2
libboost-iostreams1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-json-dev:amd64	1.83.0.1ubuntu2
libboost-json1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-json1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-locale-dev:amd64	1.83.0.1ubuntu2
libboost-locale1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-log-dev	1.83.0.1ubuntu2
libboost-log1.83-dev	1.83.0-2.1ubuntu3.2
libboost-log1.83.0	1.83.0-2.1ubuntu3.2
libboost-math-dev:amd64	1.83.0.1ubuntu2
libboost-math1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-math1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-mpi-dev	1.83.0.1ubuntu2
libboost-mpi-python-dev	1.83.0.1ubuntu2
libboost-mpi-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi1.83.0	1.83.0-2.1ubuntu3.2
libboost-nowide-dev	1.83.0.1ubuntu2
libboost-nowide1.83-dev	1.83.0-2.1ubuntu3.2
libboost-nowide1.83.0	1.83.0-2.1ubuntu3.2
libboost-numpy-dev	1.83.0.1ubuntu2
libboost-numpy1.83-dev	1.83.0-2.1ubuntu3.2
libboost-numpy1.83.0	1.83.0-2.1ubuntu3.2
libboost-program-options-dev:amd64	1.83.0.1ubuntu2
libboost-program-options1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-program-options1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-python-dev	1.83.0.1ubuntu2
libboost-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-random-dev:amd64	1.83.0.1ubuntu2
libboost-random1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-random1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-regex-dev:amd64	1.83.0.1ubuntu2
libboost-regex1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-regex1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-serialization-dev:amd64	1.83.0.1ubuntu2
libboost-serialization1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-serialization1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-stacktrace-dev:amd64	1.83.0.1ubuntu2
libboost-stacktrace1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-stacktrace1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-system-dev:amd64	1.83.0.1ubuntu2
libboost-system1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-system1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-test-dev:amd64	1.83.0.1ubuntu2
libboost-test1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-test1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-thread-dev:amd64	1.83.0.1ubuntu2
libboost-thread1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-timer-dev:amd64	1.83.0.1ubuntu2
libboost-timer1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-timer1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-tools-dev	1.83.0.1ubuntu2
libboost-type-erasure-dev:amd64	1.83.0.1ubuntu2
libboost-type-erasure1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-type-erasure1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-url-dev:amd64	1.83.0.1ubuntu2
libboost-url1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-url1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-wave-dev:amd64	1.83.0.1ubuntu2
libboost-wave1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-wave1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost1.83-tools-dev	1.83.0-2.1ubuntu3.2
libbrotli-dev:amd64	1.1.0-2build2
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libbz2-dev:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.3
libc-dev-bin	2.39-0ubuntu8.3
libc-devtools	2.39-0ubuntu8.3
libc6:amd64	2.39-0ubuntu8.3
libc6-dev:amd64	2.39-0ubuntu8.3
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairo2-dev:amd64	1.18.0-3build1
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04
libcdt5:amd64	2.42.2-9ubuntu0.1
libcfitsio-dev:amd64	4.3.1-1.1build2
libcfitsio-doc	4.3.1-1.1build2
libcfitsio10t64:amd64	4.3.1-1.1build2
libcgraph6:amd64	2.42.2-9ubuntu0.1
libcgsi-gsoap1t64:amd64	1.3.11-5
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.3
libctf0:amd64	2.42-4ubuntu2.3
libcups2t64:amd64	2.4.7-1.2ubuntu7.3
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libdatrie1:amd64	0.2.13-3build1
libdavix0t64:amd64	0.8.5-1.1build3
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdcap1t64:amd64	2.47.14-2
libde265-0:amd64	1.0.15-1build3
libdebconfclient0:amd64	0.271ubuntu3
libdeflate-dev:amd64	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1
libdpkg-perl	1.22.6ubuntu6.1
libdrm-amdgpu1:amd64	2.4.120-2build1
libdrm-common	2.4.120-2build1
libdrm-intel1:amd64	2.4.120-2build1
libdrm-nouveau2:amd64	2.4.120-2build1
libdrm-radeon1:amd64	2.4.120-2build1
libdrm2:amd64	2.4.120-2build1
libedit2:amd64	3.1-20230828-1build1
libegl-dev:amd64	1.7.0-1build1
libegl-mesa0:amd64	24.0.9-0ubuntu0.2
libegl1:amd64	1.7.0-1build1
libelf1t64:amd64	0.190-1.1build4
liberror-perl	0.17029-2
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-dev	2.1.12-stable-9ubuntu2
libevent-extra-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-openssl-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-pthreads-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libexpat1:amd64	2.6.1-2ubuntu0.1
libexpat1-dev:amd64	2.6.1-2ubuntu0.1
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfabric1:amd64	1.17.0-3build2
libfakeroot:amd64	1.33-1
libfcgi-bin	2.4.2-2.1build1
libfcgi-dev:amd64	2.4.2-2.1build1
libfcgi0t64:amd64	2.4.2-2.1build1
libffi-dev:amd64	3.4.6-1build1
libffi8:amd64	3.4.6-1build1
libfftw3-bin	3.3.10-1ubuntu3
libfftw3-dev:amd64	3.3.10-1ubuntu3
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-long3:amd64	3.3.10-1ubuntu3
libfftw3-quad3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-fcntllock-perl	0.22-4ubuntu5
libfontconfig-dev:amd64	2.15.0-1.1ubuntu2
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfreetype-dev:amd64	2.13.2+dfsg-1build3
libfreetype6:amd64	2.13.2+dfsg-1build3
libfribidi0:amd64	1.0.13-3build1
libftgl-dev	2.4.0-3build1
libftgl2:amd64	2.4.0-3build1
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgbm1:amd64	24.0.9-0ubuntu0.2
libgcc-13-dev:amd64	13.2.0-23ubuntu4
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04
libgcrypt20:amd64	1.10.3-2build1
libgd3:amd64	2.3.3-9ubuntu5
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.1
libgdk-pixbuf-2.0-dev:amd64	2.42.10+dfsg-3ubuntu3.1
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.1
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.1
libgfal-srm-ifce1t64:amd64	1.24.6-1.1build1
libgfal-transfer2t64:amd64	2.22.1-1.1ubuntu3
libgfal2-2t64:amd64	2.22.1-1.1ubuntu3
libgfal2-dev:amd64	2.22.1-1.1ubuntu3
libgfortran-13-dev:amd64	13.2.0-23ubuntu4
libgfortran5:amd64	14.2.0-4ubuntu2~24.04
libgif-dev:amd64	5.2.2-1ubuntu1
libgif7:amd64	5.2.2-1ubuntu1
libgirepository-1.0-1:amd64	1.80.1-1
libgirepository-1.0-dev:amd64	1.80.1-1
libgirepository-2.0-0:amd64	2.80.0-6ubuntu3.2
libgirepository1.0-dev	1.80.1-1
libgl-dev:amd64	1.7.0-1build1
libgl1:amd64	1.7.0-1build1
libgl1-amber-dri:amd64	21.3.9-0ubuntu2
libgl1-mesa-dev:amd64	24.0.9-0ubuntu0.2
libgl1-mesa-dri:amd64	24.0.9-0ubuntu0.2
libgl2ps-dev	1.4.2+dfsg1-2build1
libgl2ps1.4	1.4.2+dfsg1-2build1
libglapi-mesa:amd64	24.0.9-0ubuntu0.2
libgles-dev:amd64	1.7.0-1build1
libgles1:amd64	1.7.0-1build1
libgles2:amd64	1.7.0-1build1
libglew-dev:amd64	2.2.0-4build1
libglew2.2:amd64	2.2.0-4build1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.2
libglib2.0-bin	2.80.0-6ubuntu3.2
libglib2.0-data	2.80.0-6ubuntu3.2
libglib2.0-dev:amd64	2.80.0-6ubuntu3.2
libglib2.0-dev-bin	2.80.0-6ubuntu3.2
libglobus-callout0t64:amd64	4.3-3build1
libglobus-common0t64:amd64	18.14-1.1build1
libglobus-gsi-callback0t64:amd64	6.2-3
libglobus-gsi-cert-utils0t64:amd64	10.11-2
libglobus-gsi-credential1t64:amd64	8.4-2
libglobus-gsi-openssl-error0t64:amd64	4.4-3
libglobus-gsi-proxy-core0t64:amd64	9.8-3
